date,total_value
2023-01-01,9938.282379343196
2023-01-02,9938.282379343196
2023-01-03,9844.418929280291
2023-01-04,9896.91435635193
2023-01-05,9919.292628674375
2023-01-06,10089.831853028487
2023-01-07,10089.831853028487
2023-01-08,10089.831853028487
2023-01-09,9943.887770058884
2023-01-10,10011.705043994276
2023-01-11,10058.432732543037
2023-01-12,10089.524578788381
2023-01-13,10129.351649342543
2023-01-14,10129.351649342543
2023-01-15,10129.351649342543
2023-01-16,10129.351649342543
2023-01-17,10087.944948258268
2023-01-18,9911.033488969162
2023-01-19,9885.497505138908
2023-01-20,9999.12214964196
2023-01-21,9999.12214964196
2023-01-22,9999.12214964196
2023-01-23,10038.044556445078
2023-01-24,10060.305115073104
2023-01-25,10114.57400106809
2023-01-26,10214.22047026028
2023-01-27,10155.072569849399
2023-01-28,10155.072569849399
2023-01-29,10155.072569849399
2023-01-30,10066.228253603833
2023-01-31,10183.073331857033
2023-02-01,10132.684033108188
2023-02-02,10026.925604218917
2023-02-03,10026.262769354085
2023-02-04,10026.262769354085
2023-02-05,10026.262769354085
2023-02-06,10010.373145491263
2023-02-07,10140.694824725138
2023-02-08,10080.390858224619
2023-02-09,10043.341478265553
2023-02-10,10198.497906832768
2023-02-11,10198.497906832768
2023-02-12,10198.497906832768
2023-02-13,10260.367049570588
2023-02-14,10231.417001130285
2023-02-15,10171.48692984964
2023-02-16,10060.812945047574
2023-02-17,10023.456295935883
2023-02-18,10023.456295935883
2023-02-19,10023.456295935883
2023-02-20,10023.456295935883
2023-02-21,9924.934419338708
2023-02-22,9897.797593408395
2023-02-23,9943.49341397727
2023-02-24,9898.417212319455
2023-02-25,9898.417212319455
2023-02-26,9898.417212319455
2023-02-27,9889.177489166404
2023-02-28,9821.58460410471
2023-03-01,9860.53256080679
2023-03-02,9872.674562004178
2023-03-03,9977.592923269493
2023-03-04,9977.592923269493
2023-03-05,9977.592923269493
2023-03-06,9994.953849184862
2023-03-07,9833.328756184865
2023-03-08,9776.874787976407
2023-03-09,9606.11465985047
2023-03-10,9511.201845994523
2023-03-11,9511.201845994523
2023-03-12,9511.201845994523
2023-03-13,9388.578742823329
2023-03-14,9490.914871322411
2023-03-15,9307.471406410974
2023-03-16,9408.970699224881
2023-03-17,9231.548978313858
2023-03-18,9231.548978313858
2023-03-19,9231.548978313858
2023-03-20,9385.474510010674
2023-03-21,9543.302880559339
2023-03-22,9365.041826751816
2023-03-23,9320.951427013091
2023-03-24,9385.029288005575
2023-03-25,9385.029288005575
2023-03-26,9385.029288005575
2023-03-27,9492.755351636424
2023-03-28,9526.682952571975
2023-03-29,9627.495167798106
2023-03-30,9655.783369024988
2023-03-31,9739.466947318713
2023-04-01,9739.466947318713
2023-04-02,9739.466947318713
2023-04-03,9911.592918844017
2023-04-04,9829.587304381896
2023-04-05,9919.180698955935
2023-04-06,9905.64520492629
2023-04-07,9905.64520492629
2023-04-08,9905.64520492629
2023-04-09,9905.64520492629
2023-04-10,9942.718469445272
2023-04-11,9982.219249753165
2023-04-12,9972.47068031139
2023-04-13,10032.004892243438
2023-04-14,10023.151502150466
2023-04-15,10023.151502150466
2023-04-16,10023.151502150466
2023-04-17,10028.401718534633
2023-04-18,10053.110323944973
2023-04-19,10033.035731855462
2023-04-20,9961.049414861236
2023-04-21,9975.518880495572
2023-04-22,9975.518880495572
2023-04-23,9975.518880495572
2023-04-24,10007.194329150594
2023-04-25,9895.307721164976
2023-04-26,9758.585817805808
2023-04-27,9856.284502566963
2023-04-28,9943.324868611282
2023-04-29,9943.324868611282
2023-04-30,9943.324868611282
2023-05-01,9938.395473933826
2023-05-02,9726.574450365591
2023-05-03,9660.052826459714
2023-05-04,9566.18887997614
2023-05-05,9745.020214945112
2023-05-06,9745.020214945112
2023-05-07,9745.020214945112
2023-05-08,9765.079855142456
2023-05-09,9751.972001471962
2023-05-10,9726.801499271238
2023-05-11,9686.404478544311
2023-05-12,9680.173087209841
2023-05-13,9680.173087209841
2023-05-14,9680.173087209841
2023-05-15,9719.825023814901
2023-05-16,9597.931122349104
2023-05-17,9729.300601281433
2023-05-18,9763.704944771789
2023-05-19,9781.089390756311
2023-05-20,9781.089390756311
2023-05-21,9781.089390756311
2023-05-22,9752.745720526627
2023-05-23,9718.06747143064
2023-05-24,9669.336112696375
2023-05-25,9647.976611657605
2023-05-26,9675.062962978005
2023-05-27,9675.062962978005
2023-05-28,9675.062962978005
2023-05-29,9675.062962978005
2023-05-30,9654.292835607279
2023-05-31,9573.959408543054
2023-06-01,9651.928529110355
2023-06-02,9847.506775293898
2023-06-03,9847.506775293898
2023-06-04,9847.506775293898
2023-06-05,9837.539857749262
2023-06-06,9871.092682543507
2023-06-07,9942.483598943087
2023-06-08,9977.558006885516
2023-06-09,9971.316998037568
2023-06-10,9971.316998037568
2023-06-11,9971.316998037568
2023-06-12,9974.330346198394
2023-06-13,10045.523133069959
2023-06-14,9995.936046513976
2023-06-15,10098.25289318982
2023-06-16,10093.696669514355
2023-06-17,10093.696669514355
2023-06-18,10093.696669514355
2023-06-19,10093.696669514355
2023-06-20,10003.204338686815
2023-06-21,10017.33453666065
2023-06-22,10002.067735906074
2023-06-23,9940.993615379248
2023-06-24,9940.993615379248
2023-06-25,9940.993615379248
2023-06-26,9956.159685823019
2023-06-27,10021.055125890543
2023-06-28,10008.90668411029
2023-06-29,10107.390208031044
2023-06-30,10198.928716159819
2023-07-01,10198.928716159819
2023-07-02,10198.928716159819
2023-07-03,10219.719626003347
2023-07-04,10219.719626003347
2023-07-05,10209.900377358543
2023-07-06,10070.390293601196
2023-07-07,10051.770240175882
2023-07-08,10051.770240175882
2023-07-09,10051.770240175882
2023-07-10,10098.437153800205
2023-07-11,10179.82910630504
2023-07-12,10187.135522424576
2023-07-13,10178.018510230084
2023-07-14,10103.232525166422
2023-07-15,10103.232525166422
2023-07-16,10103.232525166422
2023-07-17,10122.778388553108
2023-07-18,10202.841524565561
2023-07-19,10261.355004498644
2023-07-20,10378.127083927648
2023-07-21,10395.61205008129
2023-07-22,10395.61205008129
2023-07-23,10395.61205008129
2023-07-24,10443.411606184665
2023-07-25,10423.166090920582
2023-07-26,10432.45541072367
2023-07-27,10391.085646517486
2023-07-28,10418.448780417984
2023-07-29,10418.448780417984
2023-07-30,10418.448780417984
2023-07-31,10474.703076275515
2023-08-01,10436.518016450436
2023-08-02,10369.29759389135
2023-08-03,10382.774534429162
2023-08-04,10356.881518154283
2023-08-05,10356.881518154283
2023-08-06,10356.881518154283
2023-08-07,10459.890126957953
2023-08-08,10562.12876291032
2023-08-09,10556.594877033249
2023-08-10,10554.952167326355
2023-08-11,10632.207863925698
2023-08-12,10632.207863925698
2023-08-13,10632.207863925698
