date,total_value
2024-01-01,8571.296157118973
2024-01-02,8413.274871306035
2024-01-03,8376.322693207832
2024-01-04,8343.87271169268
2024-01-05,8367.926683891743
2024-01-06,8367.926683891743
2024-01-07,8367.926683891743
2024-01-08,8537.773321320125
2024-01-09,8561.968534501328
2024-01-10,8666.422872855153
2024-01-11,8688.643174094192
2024-01-12,8722.590854219306
2024-01-13,8722.590854219306
2024-01-14,8722.590854219306
2024-01-15,8722.590854219306
2024-01-16,8704.34139130738
2024-01-17,8676.19022058355
2024-01-18,8800.531499145563
2024-01-19,8959.198758157228
2024-01-20,8959.198758157228
2024-01-21,8959.198758157228
2024-01-22,8973.707969241192
2024-01-23,8989.349528468443
2024-01-24,9040.215324464003
2024-01-25,9108.86525813377
2024-01-26,9096.961104986145
2024-01-27,9096.961104986145
2024-01-28,9096.961104986145
2024-01-29,9183.950975185511
2024-01-30,9148.443026064851
2024-01-31,8933.144544215542
2024-02-01,9062.830715754279
2024-02-02,9339.026389340634
2024-02-03,9339.026389340634
2024-02-04,9339.026389340634
2024-02-05,9328.792227499764
2024-02-06,9317.658037968753
2024-02-07,9462.858899183146
2024-02-08,9485.193749574222
2024-02-09,9553.969293983342
2024-02-10,9553.969293983342
2024-02-11,9553.969293983342
2024-02-12,9497.778017547642
2024-02-13,9372.985183103287
2024-02-14,9513.594585208943
2024-02-15,9534.318250246482
2024-02-16,9449.716665325801
2024-02-17,9449.716665325801
2024-02-18,9449.716665325801
2024-02-19,9449.716665325801
2024-02-20,9374.26011774913
2024-02-21,9332.382045604909
2024-02-22,9583.311321186646
2024-02-23,9563.683804573735
2024-02-24,9563.683804573735
2024-02-25,9563.683804573735
2024-02-26,9523.956567311687
2024-02-27,9561.102925255072
2024-02-28,9528.690474611853
2024-02-29,9624.027308221537
2024-03-01,9746.605115236454
2024-03-02,9746.605115236454
2024-03-03,9746.605115236454
2024-03-04,9710.416490316748
2024-03-05,9538.620056603762
2024-03-06,9586.711252607172
2024-03-07,9715.744723933518
2024-03-08,9632.491973719149
2024-03-09,9632.491973719149
2024-03-10,9632.491973719149
2024-03-11,9542.581470827592
2024-03-12,9713.368792822748
2024-03-13,9674.760589857904
2024-03-14,9688.618374779076
2024-03-15,9563.81118684581
2024-03-16,9563.81118684581
2024-03-17,9563.81118684581
2024-03-18,9687.650457675729
2024-03-19,9741.762290028635
2024-03-20,9859.057443948768
2024-03-21,9858.167268410743
2024-03-22,9875.411000604521
2024-03-23,9875.411000604521
2024-03-24,9875.411000604521
2024-03-25,9818.247271369048
2024-03-26,9789.19805619656
2024-03-27,9825.906890567203
2024-03-28,9791.492932953935
2024-03-29,9791.492932953935
2024-03-30,9791.492932953935
2024-03-31,9791.492932953935
2024-04-01,9806.86927863365
2024-04-02,9759.404772646521
2024-04-03,9835.99640909467
2024-04-04,9710.930604782834
2024-04-05,9891.597707833238
2024-04-06,9891.597707833238
2024-04-07,9891.597707833238
2024-04-08,9861.513020709514
2024-04-09,9841.6195103293
2024-04-10,9787.506408752934
2024-04-11,9909.16909025288
2024-04-12,9787.179518435812
2024-04-13,9787.179518435812
2024-04-14,9787.179518435812
2024-04-15,9610.777679363924
2024-04-16,9593.643367340967
2024-04-17,9521.174437005946
2024-04-18,9493.864241637264
2024-04-19,9326.4816474942
2024-04-20,9326.4816474942
2024-04-21,9326.4816474942
2024-04-22,9406.803779863163
2024-04-23,9580.302596981785
2024-04-24,9583.89078199018
2024-04-25,9403.906917660519
2024-04-26,9563.978181820818
2024-04-27,9563.978181820818
2024-04-28,9563.978181820818
2024-04-29,9531.67937747968
2024-04-30,9408.911495788769
2024-05-01,9400.355572850045
2024-05-02,9486.58941673625
2024-05-03,9660.314880476873
2024-05-04,9660.314880476873
2024-05-05,9660.314880476873
2024-05-06,9809.791260685704
2024-05-07,9830.068692589612
2024-05-08,9831.014134001734
2024-05-09,9883.38730180548
2024-05-10,9878.142576915865
2024-05-11,9878.142576915865
2024-05-12,9878.142576915865
2024-05-13,9847.46447167231
2024-05-14,9905.691105619038
2024-05-15,10100.04276150777
2024-05-16,10049.786776995239
2024-05-17,10063.360054600369
2024-05-18,10063.360054600369
2024-05-19,10063.360054600369
2024-05-20,10109.568211732252
2024-05-21,10152.955594168996
2024-05-22,10136.508379712848
2024-05-23,10064.122027195668
2024-05-24,10168.608567039817
2024-05-25,10168.608567039817
2024-05-26,10168.608567039817
2024-05-27,10168.608567039817
2024-05-28,10179.666854604899
2024-05-29,10131.005777848524
