date,total_value
2024-03-21,9999.99999999999
2024-03-22,10006.530473739082
2024-03-23,10013.060947478174
2024-03-24,10019.591421217265
2024-03-25,10026.121894956355
2024-03-26,10032.652368695448
2024-03-27,10039.182842434539
2024-03-28,10045.71331617363
2024-03-29,10052.243789912722
2024-03-30,10058.774263651812
2024-03-31,10065.304737390903
2024-04-01,10071.835211129996
2024-04-02,10078.365684869086
2024-04-03,10084.896158608179
2024-04-04,10091.42663234727
2024-04-05,10097.95710608636
2024-04-06,10104.487579825452
2024-04-07,10111.018053564543
2024-04-08,10117.548527303634
2024-04-09,10124.079001042726
2024-04-10,10130.609474781817
2024-04-11,10137.139948520908
2024-04-12,10143.67042226
2024-04-13,10150.20089599909
2024-04-14,10156.731369738181
2024-04-15,10163.261843477274
2024-04-16,10169.792317216365
2024-04-17,10176.322790955455
2024-04-18,10182.853264694548
2024-04-19,10189.383738433638
2024-04-20,10195.91421217273
2024-04-21,10202.444685911822
2024-04-22,10208.975159650912
2024-04-23,10215.505633390003
2024-04-24,10222.036107129095
2024-04-25,10228.566580868186
2024-04-26,10235.097054607277
2024-04-27,10241.62752834637
2024-04-28,10248.15800208546
2024-04-29,10254.68847582455
2024-04-30,10261.218949563643
2024-05-01,10267.749423302734
2024-05-02,10274.279897041826
2024-05-03,10280.810370780917
2024-05-04,10287.340844520008
2024-05-05,10293.8713182591
2024-05-06,10300.40179199819
2024-05-07,10306.932265737281
2024-05-08,10313.462739476374
2024-05-09,10319.993213215464
2024-05-10,10326.523686954555
2024-05-11,10333.054160693648
2024-05-12,10339.584634432738
2024-05-13,10346.115108171829
2024-05-14,10352.645581910921
2024-05-15,10359.176055650012
2024-05-16,10365.706529389103
2024-05-17,10372.237003128195
2024-05-18,10378.767476867286
2024-05-19,10385.297950606377
2024-05-20,10391.82842434547
2024-05-21,10398.35889808456
2024-05-22,10404.88937182365
2024-05-23,10411.419845562743
2024-05-24,10417.950319301834
2024-05-25,10424.480793040926
2024-05-26,10431.011266780017
2024-05-27,10437.541740519107
2024-05-28,10444.0722142582
2024-05-29,10450.60268799729
2024-05-30,10457.133161736381
2024-05-31,10463.663635475474
2024-06-01,10470.194109214564
2024-06-02,10476.724582953655
2024-06-03,10483.255056692748
2024-06-04,10489.785530431838
2024-06-05,10496.316004170929
2024-06-06,10502.846477910021
2024-06-07,10509.376951649112
2024-06-08,10515.907425388203
2024-06-09,10522.437899127295
2024-06-10,10528.968372866386
2024-06-11,10535.498846605477
2024-06-12,10542.029320344569
2024-06-13,10548.55979408366
2024-06-14,10555.09026782275
2024-06-15,10561.620741561843
2024-06-16,10568.151215300933
2024-06-17,10574.681689040024
2024-06-18,10581.212162779117
2024-06-19,10587.742636518207
2024-06-20,10594.273110257298
2024-06-21,10600.80358399639
2024-06-22,10607.334057735481
2024-06-23,10613.864531474574
2024-06-24,10620.395005213664
2024-06-25,10626.925478952755
2024-06-26,10633.455952691847
2024-06-27,10639.986426430938
2024-06-28,10646.516900170029
2024-06-29,10653.047373909121
2024-06-30,10659.577847648212
2024-07-01,10666.108321387303
2024-07-02,10672.638795126395
2024-07-03,10679.169268865486
2024-07-04,10685.699742604576
2024-07-05,10692.230216343669
2024-07-06,10698.76069008276
2024-07-07,10705.29116382185
2024-07-08,10711.821637560943
2024-07-09,10718.352111300033
2024-07-10,10724.882585039124
2024-07-11,10731.413058778217
2024-07-12,10737.943532517307
2024-07-13,10744.474006256398
2024-07-14,10751.00447999549
2024-07-15,10757.534953734581
2024-07-16,10764.065427473673
2024-07-17,10770.595901212764
2024-07-18,10777.126374951855
2024-07-19,10783.656848690945
2024-07-20,10790.187322430038
2024-07-21,10796.717796169129
2024-07-22,10803.248269908221
2024-07-23,10809.778743647312
2024-07-24,10816.309217386402
2024-07-25,10822.839691125495
2024-07-26,10829.370164864586
2024-07-27,10835.900638603676
2024-07-28,10842.431112342769
2024-07-29,10848.96158608186
2024-07-30,10855.49205982095
2024-07-31,10862.022533560043
2024-08-01,10868.553007299133
2024-08-02,10875.083481038224
2024-08-03,10881.613954777316
2024-08-04,10888.144428516407
2024-08-05,10894.674902255498
2024-08-06,10901.20537599459
2024-08-07,10907.73584973368
2024-08-08,10914.266323472772
2024-08-09,10920.796797211864
2024-08-10,10927.327270950955
2024-08-11,10933.857744690045
2024-08-12,10940.388218429138
2024-08-13,10946.918692168229
2024-08-14,10953.449165907321
2024-08-15,10959.979639646412
2024-08-16,10966.510113385502
2024-08-17,10973.040587124595
2024-08-18,10979.571060863685
2024-08-19,10986.101534602776
2024-08-20,10992.632008341869
2024-08-21,10999.16248208096
2024-08-22,11005.69295582005
2024-08-23,11012.223429559142
2024-08-24,11018.753903298233
2024-08-25,11025.284377037324
2024-08-26,11031.814850776416
2024-08-27,11038.345324515507
2024-08-28,11044.875798254598
2024-08-29,11051.40627199369
2024-08-30,11057.93674573278
2024-08-31,11064.467219471871
2024-09-01,11070.997693210964
2024-09-02,11077.528166950055
2024-09-03,11084.058640689145
2024-09-04,11090.589114428238
2024-09-05,11097.119588167328
2024-09-06,11103.65006190642
2024-09-07,11110.180535645512
2024-09-08,11116.711009384602
2024-09-09,11123.241483123693
2024-09-10,11129.771956862785
2024-09-11,11136.302430601876
2024-09-12,11142.832904340969
2024-09-13,11149.36337808006
2024-09-14,11155.89385181915
2024-09-15,11162.424325558242
2024-09-16,11168.954799297333
2024-09-17,11175.485273036424
2024-09-18,11182.015746775516
2024-09-19,11188.546220514607
2024-09-20,11188.407954744998
2024-09-21,11188.26968897539
2024-09-22,11188.131423205781
2024-09-23,11187.993157436173
2024-09-24,11187.854891666564
2024-09-25,11187.716625896956
2024-09-26,11187.578360127347
2024-09-27,11187.440094357738
2024-09-28,11187.30182858813
2024-09-29,11187.163562818521
2024-09-30,11187.025297048913
2024-10-01,11186.887031279304
2024-10-02,11186.748765509696
2024-10-03,11186.610499740087
2024-10-04,11186.472233970479
2024-10-05,11186.33396820087
2024-10-06,11186.195702431261
2024-10-07,11186.057436661653
2024-10-08,11185.919170892044
2024-10-09,11185.780905122436
2024-10-10,11185.642639352827
2024-10-11,11185.504373583219
2024-10-12,11185.366107813608
2024-10-13,11185.227842044
2024-10-14,11185.089576274391
2024-10-15,11184.951310504783
2024-10-16,11184.813044735174
2024-10-17,11184.674778965566
2024-10-18,11184.536513195957
2024-10-19,11184.398247426348
2024-10-20,11184.25998165674
2024-10-21,11184.121715887131
2024-10-22,11183.983450117523
2024-10-23,11183.845184347914
2024-10-24,11183.706918578306
2024-10-25,11183.568652808697
2024-10-26,11183.430387039089
2024-10-27,11183.29212126948
2024-10-28,11183.153855499871
2024-10-29,11183.015589730263
2024-10-30,11182.877323960654
2024-10-31,11182.739058191046
2024-11-01,11182.600792421437
2024-11-02,11182.462526651829
2024-11-03,11182.32426088222
2024-11-04,11182.185995112612
2024-11-05,11182.047729343003
2024-11-06,11181.909463573395
2024-11-07,11181.771197803786
2024-11-08,11181.632932034177
2024-11-09,11181.494666264569
2024-11-10,11181.35640049496
2024-11-11,11181.218134725352
2024-11-12,11181.079868955743
2024-11-13,11180.941603186135
2024-11-14,11180.803337416526
2024-11-15,11180.665071646918
2024-11-16,11180.526805877309
2024-11-17,11180.3885401077
2024-11-18,11180.250274338092
2024-11-19,11180.112008568483
2024-11-20,11179.973742798875
2024-11-21,11179.835477029266
2024-11-22,11179.697211259658
2024-11-23,11179.55894549005
2024-11-24,11179.42067972044
2024-11-25,11179.282413950832
2024-11-26,11179.144148181223
2024-11-27,11179.005882411613
2024-11-28,11178.867616642005
2024-11-29,11178.729350872396
2024-11-30,11178.591085102787
2024-12-01,11178.452819333179
2024-12-02,11178.31455356357
2024-12-03,11178.176287793962
2024-12-04,11178.038022024353
2024-12-05,11177.899756254745
2024-12-06,11177.761490485136
2024-12-07,11177.623224715528
2024-12-08,11177.484958945919
2024-12-09,11177.34669317631
2024-12-10,11177.208427406702
2024-12-11,11177.070161637093
2024-12-12,11176.931895867485
2024-12-13,11176.793630097876
2024-12-14,11176.655364328268
2024-12-15,11176.51709855866
2024-12-16,11176.37883278905
2024-12-17,11176.240567019442
2024-12-18,11176.102301249834
2024-12-19,11175.964035480225
2024-12-20,11175.825769710616
2024-12-21,11175.687503941008
2024-12-22,11175.5492381714
2024-12-23,11175.41097240179
2024-12-24,11175.272706632182
2024-12-25,11175.134440862574
2024-12-26,11174.996175092965
2024-12-27,11174.857909323357
2024-12-28,11174.719643553748
2024-12-29,11174.58137778414
2024-12-30,11174.443112014531
2024-12-31,11174.304846244922
2025-01-01,11174.166580475314
2025-01-02,11174.028314705705
2025-01-03,11173.890048936097
2025-01-04,11173.751783166488
2025-01-05,11173.61351739688
2025-01-06,11173.475251627271
2025-01-07,11173.336985857663
2025-01-08,11173.198720088054
2025-01-09,11173.060454318445
2025-01-10,11172.922188548837
2025-01-11,11172.783922779228
2025-01-12,11172.645657009618
2025-01-13,11172.50739124001
2025-01-14,11172.3691254704
2025-01-15,11172.230859700792
2025-01-16,11172.092593931184
2025-01-17,11171.954328161575
2025-01-18,11171.816062391967
2025-01-19,11171.677796622358
2025-01-20,11171.53953085275
2025-01-21,11171.401265083141
2025-01-22,11171.262999313532
2025-01-23,11171.124733543924
2025-01-24,11170.986467774315
2025-01-25,11170.848202004707
2025-01-26,11170.709936235098
2025-01-27,11170.57167046549
2025-01-28,11170.433404695881
2025-01-29,11170.295138926273
2025-01-30,11170.156873156664
2025-01-31,11170.018607387055
2025-02-01,11169.880341617447
2025-02-02,11169.742075847838
2025-02-03,11169.60381007823
2025-02-04,11169.465544308621
2025-02-05,11169.327278539013
2025-02-06,11169.189012769404
2025-02-07,11169.050746999796
2025-02-08,11168.912481230187
2025-02-09,11168.774215460578
2025-02-10,11168.63594969097
2025-02-11,11168.497683921361
2025-02-12,11168.359418151753
2025-02-13,11168.221152382144
2025-02-14,11168.082886612536
2025-02-15,11167.944620842927
2025-02-16,11167.806355073319
2025-02-17,11167.66808930371
2025-02-18,11167.529823534102
2025-02-19,11167.391557764493
2025-02-20,11167.253291994884
2025-02-21,11167.115026225276
2025-02-22,11166.976760455667
2025-02-23,11166.838494686059
2025-02-24,11166.70022891645
2025-02-25,11166.561963146842
2025-02-26,11166.423697377233
2025-02-27,11166.285431607623
2025-02-28,11166.147165838014
2025-03-01,11166.008900068406
2025-03-02,11165.870634298797
2025-03-03,11165.732368529189
2025-03-04,11165.59410275958
2025-03-05,11165.455836989971
2025-03-06,11165.317571220363
2025-03-07,11165.179305450754
2025-03-08,11165.041039681146
2025-03-09,11164.902773911537
2025-03-10,11164.764508141929
2025-03-11,11164.62624237232
2025-03-12,11164.487976602712
2025-03-13,11164.349710833103
2025-03-14,11164.211445063494
2025-03-15,11164.073179293886
2025-03-16,11163.934913524277
2025-03-17,11163.796647754669
2025-03-18,11163.65838198506
2025-03-19,11163.520116215452
2025-03-20,11163.381850445843
2025-03-21,11163.243584676235
2025-03-22,11178.383590663636
2025-03-23,11193.523596651037
2025-03-24,11208.663602638437
2025-03-25,11223.803608625838
2025-03-26,11238.94361461324
2025-03-27,11254.08362060064
2025-03-28,11269.223626588042
2025-03-29,11284.363632575441
2025-03-30,11299.503638562843
2025-03-31,11314.643644550244
2025-04-01,11329.783650537645
2025-04-02,11344.923656525047
2025-04-03,11360.063662512446
2025-04-04,11375.203668499847
2025-04-05,11390.343674487249
2025-04-06,11405.48368047465
2025-04-07,11420.62368646205
2025-04-08,11435.76369244945
2025-04-09,11450.903698436852
2025-04-10,11466.043704424254
2025-04-11,11481.183710411655
2025-04-12,11496.323716399054
2025-04-13,11511.463722386456
2025-04-14,11526.603728373857
